value,qualifiers,dateTime,station,parameter,param_code
15.5,['P'],2026-02-10 04:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.5,['P'],2026-02-10 04:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.5,['P'],2026-02-10 05:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-10 05:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-10 05:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-10 05:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-10 06:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-10 06:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.5,['P'],2026-02-10 06:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.5,['P'],2026-02-10 06:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-10 07:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.3,['P'],2026-02-10 07:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.4,['P'],2026-02-10 07:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.5,['P'],2026-02-10 07:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-10 08:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-10 08:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-10 08:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-10 08:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
15.6,['P'],2026-02-10 09:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
